,date,confirm
0,03.08,359739
1,03.09,372123
2,03.10,380238
3,03.11,385997
4,03.12,391716
5,03.13,397659
6,03.14,405360
7,03.15,410827
8,03.16,415480
9,03.17,420134
10,03.18,424297
11,03.19,427848
12,03.20,431271
13,03.21,434834
14,03.22,438647
15,03.23,441865
16,03.24,445069
17,03.25,447162
18,03.26,449283
19,03.27,451447
20,03.28,453469
21,03.29,455633
22,03.30,458299
23,03.31,460892
24,04.01,475180
25,04.02,483750
26,04.03,485913
27,04.04,487867
28,04.05,490130
29,04.06,492227
30,04.07,495323
31,04.08,497437
32,04.09,499486
33,04.10,501495
34,04.11,503565
35,04.12,505815
36,04.13,509824
37,04.14,514371
38,04.15,519822
39,04.16,524766
40,04.17,529071
41,04.18,534257
42,04.19,538839
43,04.20,544455
44,04.21,549764
45,04.22,556794
46,04.23,580108
47,04.24,589031
48,04.25,586290
49,04.26,604541
50,04.27,615102
51,04.28,633259
52,04.29,647101
53,04.30,663222
54,05.01,681214
55,05.02,699499
56,05.03,723102
57,05.04,752053
58,05.05,782526
59,05.06,819128
