,date,confirm
0,03.07,6089
1,03.08,15154
2,03.09,12384
3,03.10,8115
4,03.11,5759
5,03.12,5791
6,03.13,5944
7,03.14,7701
8,03.15,5467
9,03.16,4653
10,03.17,4654
11,03.18,4163
12,03.19,3551
13,03.20,3423
14,03.21,3563
15,03.22,3813
16,03.23,3218
17,03.24,3204
18,03.25,2093
19,03.26,2121
20,03.27,2164
21,03.28,2022
22,03.29,2164
23,03.30,2666
24,03.31,2593
25,04.01,14288
26,04.02,8570
27,04.03,2163
28,04.04,1954
29,04.05,2263
30,04.06,2097
31,04.07,3096
32,04.09,2049
33,04.10,2009
34,04.11,2097
35,04.12,3048
36,04.13,4009
37,04.14,4547
38,04.15,5451
39,04.16,4944
40,04.17,4305
41,04.18,5186
42,04.19,4582
43,04.20,5616
44,04.21,5309
45,04.22,7030
46,04.23,23314
47,04.24,8923
48,04.25,7259
49,04.26,8251
50,04.27,10561
51,04.28,18157
52,04.29,13842
53,04.30,16121
54,05.01,17973
55,05.02,18285
56,05.03,23603
57,05.04,28951
58,05.05,30473
59,05.06,36602
